Temperature,Moisture,Rainfall,PH,Nitrogen,Phosphorous,Potassium,Carbon,Soil,Crop,Fertilizer
31.5098168,0.790060385,79.62293404,7.062208253,58.27231273,145.6415294,95.75525735,1.016942495,Loamy Soil,Black Gram,Balanced Npk Fertilizer
21.17279462,0.474012883,108.7378457,3.908612908,86.96971052,48.43842996,60.45804297,1.899822022,Acidic Soil,Apple,Dap
26.70904021,0.700454902,147.9029304,7.686317261,67.23764188,72.05298261,66.130032,1.823793731,Peaty Soil,Sugarcane,Organic Fertilizer
28.08735356,0.508449978,130.7659767,6.673740702,60.64195605,104.3432427,104.0663985,1.61714053,Neutral Soil,Wheat,Water Retaining Fertilizer
40.60293556,0.688844721,41.37271968,5.501975139,50.72895727,24.09780716,57.64200665,0.649420482,Acidic Soil,Millet,Dap
18.3892244,0.606802828,31.64483361,6.875701529,52.40385644,63.93132967,159.5640307,1.458929923,Loamy Soil,Peas,Water Retaining Fertilizer
50.17984508,0.5607292,64.40147631,5.967704585,57.60055969,54.52651093,52.12574768,0.826733257,Acidic Soil,Grapes,Lime
33.12961701,0.727116184,74.76121879,6.592809762,55.74106499,86.54764254,60.40209961,2.159418471,Loamy Soil,Black Gram,Balanced Npk Fertilizer
22.79167268,0.972361206,306.0816006,6.453407131,58.27824976,55.79241258,69.27196246,1.348090451,Acidic Soil,Wheat,General Purpose Fertilizer
27.96845178,0.535999019,306.0816006,4.407890531,56.31584859,31.04444168,51.96463398,2.124864481,Acidic Soil,Pigeon Peas,Dap
25.45518794,0.781065906,45.20883497,8.82843282,55.98392165,51.66112296,52.51170771,1.985332435,Peaty Soil,Watermelon,Gypsum
23.23623159,0.545995165,111.1740707,5.909523322,65.11417339,64.28244336,51.33332864,0.0,Acidic Soil,Pomegranate,Lime
19.15149766,0.646297419,46.51387936,5.840534036,49.00608098,39.65029588,40.70095369,2.24797937,Acidic Soil,Peas,Urea
26.67394724,0.425141245,61.27655001,8.82843282,56.82732792,60.65926613,63.95394419,2.182194996,Acidic Soil,Grapes,Gypsum
50.17984508,0.789306942,58.64326765,6.235057082,60.68136155,49.5362155,45.60796986,1.485214176,Peaty Soil,Grapes,Dap
23.03100639,0.5678784,45.92884131,6.068659813,56.57689196,61.02495938,44.53290711,2.067376879,Acidic Soil,Watermelon,Muriate Of Potash
19.31347079,0.456536232,92.73749338,6.123045436,56.16052355,43.26971518,49.28624932,1.326477098,Acidic Soil,Tobacco,Dap
28.90088163,0.560713239,20.90244028,6.999259878,35.52771842,117.8163117,64.21474766,3.241983684,Neutral Soil,Mung Bean,Urea
25.59206905,0.713283305,152.2187367,8.365204331,64.6714769,51.72274115,56.9018376,0.0,Peaty Soil,Sugarcane,Gypsum
27.23354607,0.544569193,7.674049466,6.450531794,51.26965414,119.7260488,47.47208118,2.091555222,Neutral Soil,Muskmelon,Muriate Of Potash
26.83673374,0.660048528,64.66761892,8.82843282,58.13025045,165.7508607,91.78563305,1.440251501,Loamy Soil,Watermelon,Gypsum
34.74965933,0.675968603,110.2428176,6.979958479,70.02898567,142.8355272,147.65903,2.049757284,Loamy Soil,Orange,Water Retaining Fertilizer
26.53419531,0.57977683,136.8492193,6.601157157,86.96971052,99.49337973,85.65695758,1.084716057,Neutral Soil,Papaya,Water Retaining Fertilizer
29.77840411,0.760699607,138.2311332,7.518316994,72.26459985,72.21331742,76.54540614,2.059040313,Peaty Soil,Sugarcane,Organic Fertilizer
31.8436555,0.492586299,97.42489222,5.974663629,58.64518639,60.69660893,65.03884134,0.998884748,Acidic Soil,Ground Nut,Lime
29.78172562,0.780358838,131.2629316,7.719065303,68.46121258,177.3144812,74.09310546,1.796300135,Peaty Soil,Sugarcane,Organic Fertilizer
26.79320398,0.684079207,78.66017819,5.7446029,57.81236701,52.73417633,58.74866589,2.350696385,Acidic Soil,Tobacco,Lime
20.89964692,0.704207958,67.24378164,7.194753608,51.3763159,131.9593396,126.308197,2.058939147,Loamy Soil,Peas,Balanced Npk Fertilizer
